date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"CHU de Toulouse",11.096494039267743,1
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Thales Alenia Space",7.957625735654644,2
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Université Paul Sabatier Toulouse III",18.29393428131069,3
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Université Toulouse - Jean Jaurès",11.27267614396596,4
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"toulouse-métropole",11.164565930736503,5
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Université Toulouse 1 Capitole",11.384868316445148,6
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Continental",5.6914539368103405,7
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Orange",5.769421615355706,8
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Airbus",0.5149955465042851,9
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Pôle emploi",16.43798826820902,10
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Pierre Fabre Group",5.79755778875243,11
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"Ville de Toulouse",8.915651337158856,12
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"AFPA",18.5689804604915,13
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Employers,"ISAE-SUPAERO",9.91348128955126,14
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Project Manager",3.6868793245983222,1
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Communications Manager",2.709674305484039,2
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Salesperson",2.5299148897737105,3
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Business Manager",1.5329709802454694,4
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Teacher",1.4659333351107686,5
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.42764496332771,6
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Education Instructor",1.4072650926357153,7
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Web Developer",1.371529715426232,8
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Accountant",1.0611471187489845,9
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Human Resources Manager",1.0278389528031504,10
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Community Manager",1.0212400711292324,11
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Construction Superintendent",0.9290751218549278,12
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Development Engineer",0.9127932186405704,13
2020-11-01,fr,"France","Greater Toulouse Metropolitan Area","All",Top Trending Jobs,"Project Associate",0.8832543423346279,14
