date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Project Manager",6.2496620042125235,1
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Account Manager",4.775800359244417,2
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Editor",3.807655581851198,3
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Art Director",2.7745169282881803,4
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Writer",2.5699018748118405,5
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Social Media Manager",2.3015537620516127,6
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Public Relations Consultant",2.0821201706438033,7
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Marketing Manager",1.9588724738265988,8
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Software Engineer",1.7452677966247536,9
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Online Marketing Manager",1.6169551634048644,10
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Sales Manager",1.5893447070481193,11
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Product Manager",1.5290974125672117,12
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Copywriter",1.5086905291178772,13
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Jobs,"Creative Director",1.3295454096051265,14
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Java",-1,2
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Project Planning",-1,3
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Account Management",-1,4
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Product Development",-1,5
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"International Sales",-1,6
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Online Marketing",-1,7
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Editing",-1,8
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Journalism",-1,9
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Art Direction",-1,10
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,11
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Search Engine Optimization (SEO)",-1,12
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Writing",-1,13
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Copywriting",-1,14
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Instagram",-1,15
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Concept Development",-1,16
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"Corporate Communications",-1,17
2020-06-01,de,"Germany","All","Media & Communications",Top Trending Skills,"SEO Copywriting",-1,18
