date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Employers,"Deutsche Post",5.674331302722707,1
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Employers,"DB Schenker",3.1765756757943118,2
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Employers,"DHL",4.304847668815342,3
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Jobs,"Project Manager",4.251180345742419,1
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Jobs,"Software Engineer",3.2342026318506516,2
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Jobs,"Key Account Manager",2.3747746538434296,3
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Skills,"Project Management",-1,1
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Skills,"Java",-1,2
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Skills,"Project Planning",-1,3
2020-11-01,de,"Germany","All","Transportation & Logistics",Top Trending Skills,"Account Management",-1,4
