date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,de,"Germany","All","Retail",Top Trending Employers,"Lidl in Germany",4.387153133114259,1
2021-01-01,de,"Germany","All","Retail",Top Trending Employers,"MediaMarktSaturn",5.381250993502423,2
2021-01-01,de,"Germany","All","Retail",Top Trending Jobs,"Project Manager",3.5902118090917057,1
2021-01-01,de,"Germany","All","Retail",Top Trending Jobs,"Sales Manager",3.3384324548176294,2
2021-01-01,de,"Germany","All","Retail",Top Trending Jobs,"Salesperson",2.81817286677728,3
2021-01-01,de,"Germany","All","Retail",Top Trending Jobs,"Software Engineer",2.729205824239026,4
2021-01-01,de,"Germany","All","Retail",Top Trending Jobs,"Store Manager",2.5535202137199837,5
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"Project Management",-1,1
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"Java",-1,2
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"Project Planning",-1,3
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"International Sales",-1,4
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"Retail",-1,5
2021-01-01,de,"Germany","All","Retail",Top Trending Skills,"Visual Merchandising",-1,6
