date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"PwC Deutschland",5.7550075149599795,1
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"KPMG Deutschland",4.860757148008867,2
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"Deloitte",5.136023986131617,3
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"Deloitte Deutschland",5.292919682339619,4
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"BearingPoint",8.392451627331143,5
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"PwC",3.2297482116109637,6
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"MHP – A Porsche Company",3.989655219310922,7
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"McKinsey & Company",3.3830213835128955,8
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"alfatraining Bildungszentrum GmbH",16.240466673261245,9
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Employers,"Capgemini Invent",8.013046581750997,10
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Project Manager",5.172295874370603,1
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Audit",2.013035344509261,2
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Business Analyst",1.9810002018019148,3
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Clerical Officer",1.7187852592053867,4
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Sales Manager",1.709631557659521,5
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Recruiter",1.5462836853420634,6
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Business Consultant",1.5209636279056213,7
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Management Consultant",1.4511739634604153,8
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Project Control Manager",1.3075334387698112,9
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Managing Partner",1.205220976756433,10
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Jobs,"Business Development Manager",1.1909001173098224,11
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Project Management",-1,1
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Project Planning",-1,2
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"International Sales",-1,3
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Recruiting",-1,4
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Executive Management",-1,5
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Account Management",-1,6
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Business Analysis",-1,7
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Project Leadership",-1,8
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"SAP Products",-1,9
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Change Management",-1,10
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Scrum",-1,11
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Management Consulting",-1,12
2021-02-01,de,"Germany","All","Corporate Services",Top Trending Skills,"Auditing",-1,13
