date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Employers,"BMW Group",1.028782110003751,1
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Jobs,"Project Manager",4.499122204825558,1
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Jobs,"Software Engineer",4.218493395354309,2
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Jobs,"Development Engineer",4.136759775931851,3
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Jobs,"System Engineer",2.9745713615667295,4
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Project Management",-1,1
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Java",-1,2
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Project Planning",-1,3
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"MATLAB",-1,4
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Automotive",-1,5
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Systems Engineering",-1,6
2020-01-01,de,"Germany","Greater Munich Metropolitan Area","Manufacturing",Top Trending Skills,"Virtualization",-1,7
