date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Employers,"Accenture",6.843993385585037,1
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Software Engineer",8.050188109826752,1
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Project Manager",2.994897521813133,2
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Manager",2.13394490027004,3
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Sales Manager",2.01885278968398,4
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.9005863057862025,5
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Product Manager",1.8430025731759343,6
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Information Technology Consultant",1.8320408842777667,7
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Jobs,"Account Executive",1.8010518511092006,8
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Project Management",-1,1
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Java",-1,2
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Project Planning",-1,3
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Account Management",-1,4
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Product Development",-1,5
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"International Sales",-1,6
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Scrum",-1,7
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"IT Consulting",-1,8
2021-06-01,de,"Germany","Greater Munich Metropolitan Area","Software & IT Services",Top Trending Skills,"Software as a Service (SaaS)",-1,9
