date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Employers,"Porsche AG",4.634954331748592,1
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Employers,"MHP – A Porsche Company",8.525046909519721,2
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Employers,"Mercedes-AMG GmbH",10.077263613618069,3
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Employers,"University of Stuttgart",4.8761547520511535,4
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Project Manager",5.451327326114024,1
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Software Engineer",4.362479348558738,2
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Development Engineer",2.762783861327799,3
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Sales Manager",2.239519549973593,4
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Project Control Manager",1.658400829866929,5
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Key Account Manager",1.4957189762303609,6
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Jobs,"Product Manager",1.3260879300974335,7
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Project Management",-1,1
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Java",-1,2
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Project Planning",-1,3
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Account Management",-1,4
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Product Development",-1,5
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"International Sales",-1,6
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"MATLAB",-1,7
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Automotive",-1,8
2021-05-01,de,"Germany","Stuttgart Region","All",Top Trending Skills,"Project Leadership",-1,9
