date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"Teleperformance",9.988910862625916,1
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"INTRASOFT International",15.523608086275248,2
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"PwC",14.767213742872729,3
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"Deloitte",16.39302607549255,4
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"Accenture",12.708826269284005,5
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"Vodafone",4.507747733628294,6
2020-03-01,gr,"Greece","All","All",Top Trending Employers,"Intrum",24.820447577600998,7
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Software Engineer",5.468311660404065,1
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Accountant",2.134217515910875,2
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Project Manager",1.7455965715703732,3
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Sales Manager",1.391709512377811,4
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Salesperson",1.3433394668553804,5
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Customer Service Representative",1.2691984386330422,6
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Account Manager",1.1907500013175154,7
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Postdoctoral Researcher",0.9569027189039615,8
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Civil Engineer",0.7589091127674535,9
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Professor",0.7429619025509686,10
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Graphic Designer",0.7369088263337643,11
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Business Analyst",0.7113262547031707,12
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Sales Executive",0.6995974332277729,13
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Electrical Engineer",0.6483305936093168,14
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"General Manager",0.6455857910433296,15
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Teacher",0.6450402124549509,16
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Auditor",0.5776574257404686,17
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Business Development Manager",0.5728483487008885,18
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Chef",0.5685709861322849,19
2020-03-01,gr,"Greece","All","All",Top Trending Jobs,"Lecturer",0.5673702864841691,20
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"JavaScript",-1,1
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Teaching",-1,2
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Project Management",-1,3
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Sales Management",-1,4
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Financial Accounting",-1,5
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Adobe Illustrator",-1,6
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Project Planning",-1,7
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Structural Engineering",-1,8
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Account Management",-1,9
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Culinary Skills",-1,10
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Business Planning",-1,11
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Menu Development",-1,12
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Teamwork",-1,13
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Business Analysis",-1,14
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Auditing",-1,15
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"International Financial Reporting Standards (IFRS)",-1,16
2020-03-01,gr,"Greece","All","All",Top Trending Skills,"Electrical Wiring",-1,17
