date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Employers,"Vestige Marketing Pvt. Ltd.",15.034000300780967,1
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Employers,"Cure.Fit",8.176253309162982,2
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Employers,"Forever Living Products (UK) Ltd",17.89471145962968,3
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Distributor",5.784248062895941,1
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Software Engineer",2.9399316667783344,2
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Business Consultant",2.423240630094901,3
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Sales Manager",2.308319670372511,4
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Business Development Manager",2.2038445947815086,5
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Jobs,"Psychologist",1.9960098400765736,6
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"SQL",-1,1
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"JavaScript",-1,2
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Sales Management",-1,3
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Team Leadership",-1,4
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Business Analysis",-1,5
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Counseling Psychology",-1,6
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Psychotherapy",-1,7
2020-03-01,in,"India","All","Wellness & Fitness",Top Trending Skills,"Network Marketing",-1,8
