date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Jio",2.6985418305416804,1
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Qualcomm",3.5984433351411846,2
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Vodafone",2.1908722093496418,3
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Tata Communications",2.9985968950182125,4
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Intel Corporation",1.8393966579768415,5
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Micron Technology",17.138944375074683,6
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"INVECAS",42.624585932502164,7
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Nokia",1.036412055399859,8
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"airtel",1.9284679158640987,9
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"OPPO",3.041257288089786,10
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Juniper Networks",5.138886397672411,11
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Huawei Technologies India",7.121850286825357,12
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"NVIDIA",4.174839035507535,13
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"AMD",6.263822274548953,14
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Mavenir",8.203316128884683,15
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Ciena",5.746598156942773,16
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"Comcast",12.34485555177206,17
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"NXP Semiconductors",4.901720379609338,18
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Employers,"vivo",3.412649884303949,19
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Software Engineer",18.88732737525404,1
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Design Engineer",3.638153829165257,2
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Account Manager",3.4828865214946387,3
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Network Engineer",2.3680939572328117,4
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Sales Manager",1.5960078236521162,5
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Design Verification Engineer",1.2701685075543072,6
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Physical Design Engineer",1.1168009918102566,7
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"General Manager",1.0942880320581987,8
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Sales Executive",1.0767225994645955,9
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Test Engineer",1.0456875721585515,10
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Project Manager",1.0247960305897124,11
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Jobs,"Validation Engineer",1.0113895771378256,12
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"SQL",-1,1
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"JavaScript",-1,2
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Sales Management",-1,3
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"AutoCAD",-1,4
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Team Leadership",-1,5
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Networking",-1,6
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Requirements Analysis",-1,7
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"CATIA",-1,8
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,9
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Manual Testing",-1,10
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Account Management",-1,11
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Test Automation",-1,12
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Network Engineering",-1,13
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Physical Design",-1,14
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Static Timing Analysis",-1,15
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"Universal Verification Methodology (UVM)",-1,16
2020-04-01,in,"India","All","Hardware & Networking",Top Trending Skills,"SystemVerilog",-1,17
