date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,in,"India","All","Design",Top Trending Employers,"Tata Elxsi",1.4623146449183735,1
2020-09-01,in,"India","All","Design",Top Trending Employers,"AffinityX",9.724837947703339,2
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Architect",15.431769481012433,1
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Graphic Designer",6.692900912100296,2
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Interior Designer",6.218454068150801,3
2020-09-01,in,"India","All","Design",Top Trending Jobs,"User Experience Designer",2.803305850377355,4
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Project Manager",2.549009923984601,5
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Design Engineer",2.271773831411549,6
2020-09-01,in,"India","All","Design",Top Trending Jobs,"Business Development Manager",1.6736909610899569,7
2020-09-01,in,"India","All","Design",Top Trending Skills,"Adobe Illustrator",-1,1
2020-09-01,in,"India","All","Design",Top Trending Skills,"AutoCAD",-1,2
2020-09-01,in,"India","All","Design",Top Trending Skills,"Team Leadership",-1,3
2020-09-01,in,"India","All","Design",Top Trending Skills,"Requirements Analysis",-1,4
2020-09-01,in,"India","All","Design",Top Trending Skills,"CATIA",-1,5
2020-09-01,in,"India","All","Design",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,6
2020-09-01,in,"India","All","Design",Top Trending Skills,"SketchUp",-1,7
2020-09-01,in,"India","All","Design",Top Trending Skills,"Architectural Design",-1,8
2020-09-01,in,"India","All","Design",Top Trending Skills,"Interior Design",-1,9
2020-09-01,in,"India","All","Design",Top Trending Skills,"User Experience Design (UED)",-1,10
2020-09-01,in,"India","All","Design",Top Trending Skills,"Wireframing",-1,11
