date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,in,"India","All","Finance",Top Trending Employers,"HDFC Bank",3.2543135263065825,1
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Axis Bank",3.86939977711602,2
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Wells Fargo",8.967398455112432,3
2020-09-01,in,"India","All","Finance",Top Trending Employers,"JPMorgan Chase & Co.",3.96637688902022,4
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Citi",7.0411240603887375,5
2020-09-01,in,"India","All","Finance",Top Trending Employers,"IDFC FIRST Bank",6.972005824901152,6
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Morgan Stanley",9.530839479424943,7
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Bandhan Bank",13.412747391440568,8
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Paytm",8.96877171713178,9
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Deutsche Bank",4.879960109493533,10
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Kotak Mahindra Bank",2.292500543874282,11
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Standard Chartered Bank",3.310037362401234,12
2020-09-01,in,"India","All","Finance",Top Trending Employers,"UBS",7.580880011928006,13
2020-09-01,in,"India","All","Finance",Top Trending Employers,"HSBC",1.6913018547265286,14
2020-09-01,in,"India","All","Finance",Top Trending Employers,"ICICI Bank",0.8847137436123689,15
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Northern Trust Corporation",8.617503778505236,16
2020-09-01,in,"India","All","Finance",Top Trending Employers,"BNY Mellon",4.7343526479267695,17
2020-09-01,in,"India","All","Finance",Top Trending Employers,"IndusInd Bank",1.9953269512366885,18
2020-09-01,in,"India","All","Finance",Top Trending Employers,"AU SMALL FINANCE BANK",6.575937242981736,19
2020-09-01,in,"India","All","Finance",Top Trending Employers,"Barclays",2.6236188555674564,20
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Software Engineer",8.762178453661905,1
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Relationship Manager",4.875157525253628,2
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Financial Analyst",3.341071724427267,3
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Sales Manager",3.2221618501308473,4
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Finance Officer",2.0532912310275875,5
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Sales Executive",1.7814762623498637,6
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Credit Manager",1.5950309831502827,7
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Business Analyst",1.5389649851127678,8
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Collections Manager",1.3845743924980558,9
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Relationship Officer",1.1814716260579319,10
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Business Development Manager",1.1665415859471233,11
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Product Manager",1.1372027866304,12
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Personal Banker",1.0249589798762493,13
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Financial Advisor",0.9785769864962846,14
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Clerical Supervisor",0.7736110470108868,15
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Data Analyst",0.7286880437258207,16
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Operations Analyst",0.7284620212713019,17
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Technology Analyst",0.7083996912632771,18
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Operations Manager",0.6646240026566288,19
2020-09-01,in,"India","All","Finance",Top Trending Jobs,"Application Developer",0.6518460055648858,20
2020-09-01,in,"India","All","Finance",Top Trending Skills,"SQL",-1,1
2020-09-01,in,"India","All","Finance",Top Trending Skills,"JavaScript",-1,2
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Sales Management",-1,3
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Business Analysis",-1,4
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Team Leadership",-1,5
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Operations Management",-1,6
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Data Analysis",-1,7
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Requirements Gathering",-1,8
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Financial Analysis",-1,9
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Java",-1,10
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Tableau",-1,11
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Business Relationship Management",-1,12
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Financial Reporting",-1,13
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Product Strategy",-1,14
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Core Java",-1,15
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Financial Advisory",-1,16
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Financial Planning",-1,17
2020-09-01,in,"India","All","Finance",Top Trending Skills,"Debt Collection",-1,18
