date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Accenture",3.7124102443746985,1
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",2.473981986894922,2
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Wipro Limited",2.606248129014615,3
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"HCL Technologies",2.9750671476444923,4
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Amazon",4.364717228400169,5
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Infosys",1.7311624058436879,6
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Capgemini",2.163474507964906,7
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Infosys Ltd",8.736245983435026,8
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Persistent Systems",10.833712949193552,9
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Genpact",2.5281127749874885,10
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Oracle",2.8738899432862985,11
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Mindtree",4.061753029791178,12
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"LTI - Larsen & Toubro Infotech",3.135266434050786,13
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Microsoft",3.269884407869502,14
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Flipkart",3.507193457626797,15
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Publicis Sapient",5.790183532622345,16
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Walmart Global Tech India",9.24460870588327,17
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"DXC Technology",1.5882088943232662,18
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"Concentrix",3.01088976576139,19
2021-01-01,in,"India","All","Software & IT Services",Top Trending Employers,"EXL",4.117126823481346,20
