date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Merkle Sokrati",17.4349032504912,1
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"GD Research Center Pvt. Ltd.",11.263179620723413,2
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Schbang",16.835120180431662,3
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Tradeindia.com-Infocom Network Ltd",5.559459094994002,4
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Kantar",2.083531811258731,5
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Medium",8.885311328139373,6
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Annalect",12.714134958958773,7
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"MediaMint",8.148384193519192,8
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"InMobi",5.675964350276032,9
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Paragon Digital Services Pvt Ltd",6.145683360842158,10
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"RR Donnelley",2.439688699182767,11
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"Hogarth Worldwide",10.218255815360132,12
2021-02-01,in,"India","All","Media & Communications",Top Trending Employers,"The Glitch",13.176228404176799,13
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Content Writer",6.08431230678219,1
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Research Analyst",5.189388163570027,2
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Graphic Designer",4.169237993210435,3
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Campus Ambassador",3.056449258646726,4
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Software Engineer",2.508532642490252,5
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Business Development Executive",2.301798014273332,6
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Digital Marketing Executive",2.1843986856097968,7
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Account Manager",2.109022122141011,8
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Account Executive",1.9289709393578607,9
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Writer",1.7218366940090082,10
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Business Development Manager",1.658785853986576,11
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Editor",1.5502113253723395,12
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Project Manager",1.3173757254674654,13
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Data Analyst",1.299412710398304,14
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Lead Generation Executive",1.2368890789184956,15
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Social Media Manager",1.1846659972979123,16
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Digital Marketing Manager",1.1627162960243709,17
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Copywriter",1.1393513534884236,18
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Search Engine Optimization Executive",1.0919914645632094,19
2021-02-01,in,"India","All","Media & Communications",Top Trending Jobs,"Marketing Executive",1.0795160850486132,20
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"SQL",-1,1
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"JavaScript",-1,2
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,3
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Team Leadership",-1,4
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Requirements Analysis",-1,5
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Data Analysis",-1,6
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Web Content Writing",-1,7
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,8
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Account Management",-1,9
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Tally ERP",-1,10
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Digital Marketing",-1,11
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Writing",-1,12
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Search Engine Optimization (SEO)",-1,13
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Market Research",-1,14
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Tableau",-1,15
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Goods and Services Tax (GST)",-1,16
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Editing",-1,17
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Lead Generation",-1,18
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"Creative Writing",-1,19
2021-02-01,in,"India","All","Media & Communications",Top Trending Skills,"C (Programming Language)",-1,20
