date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"Square Yards",19.103891499580623,1
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"CBRE",2.290805189994685,2
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"Godrej Properties Limited",4.865348528796966,3
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"NoBroker.com",7.852857650583853,4
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"Lodha Group",2.8830317464608313,5
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"JLL India",2.488007946534165,6
2021-03-01,in,"India","All","Real Estate",Top Trending Employers,"INVESTORS CLINIC INFRATECH PRIVATE LIMITED",7.484075252612313,7
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Sales Manager",10.199492108345435,1
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Sales Executive",5.135306169663129,2
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Business Development Executive",5.111059731549417,3
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Relationship Manager",4.106423522381161,4
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"General Manager",3.631237430421147,5
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Business Development Manager",2.876792719454709,6
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Salesperson",2.0500657072097006,7
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Project Manager",1.986304398520387,8
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Site Engineer",1.9259460025473913,9
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Human Resources Manager",1.8707087409637384,10
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Human Resources Executive",1.822765305664436,11
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Software Engineer",1.72507405787493,12
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Civil Engineer",1.5035565784708165,13
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Marketing Manager",1.4220903890600618,14
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Portfolio Manager",1.3530306979462448,15
2021-03-01,in,"India","All","Real Estate",Top Trending Jobs,"Architect",1.3444163691194924,16
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"SQL",-1,1
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"JavaScript",-1,2
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Sales Management",-1,3
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Recruiting",-1,4
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Team Leadership",-1,5
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"AutoCAD",-1,6
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Employee Relations",-1,7
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Requirements Analysis",-1,8
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Employee Engagement",-1,9
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Marketing Strategy",-1,10
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,11
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"SketchUp",-1,12
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Architectural Design",-1,13
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Lead Generation",-1,14
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Business Relationship Management",-1,15
2021-03-01,in,"India","All","Real Estate",Top Trending Skills,"Portfolio Management",-1,16
