date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Employers,"Tata Consultancy Services",2.8401556480157195,1
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Employers,"Intas Pharmaceuticals",3.9911998931343144,2
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Software Engineer",7.587869058582021,1
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Business Development Executive",2.807313021864997,2
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Business Development Manager",1.6625839411964247,3
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Human Resources Executive",1.6363360362108212,4
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"PHP Developer",1.5519216545243903,5
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Sales Manager",1.460639810948927,6
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Content Writer",1.4527618001504206,7
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Graphic Designer",1.4307343146928106,8
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Web Developer",1.3638052137571266,9
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Android Developer",1.3015141692931724,10
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Sales Executive",1.1906997347009705,11
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Human Resources Manager",1.168779593830764,12
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Campus Ambassador",1.0142515150458968,13
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Quality Assurance Engineer",0.944825504368272,14
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Project Manager",0.9434678128803147,15
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Business Analyst",0.8205738661440158,16
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Accountant",0.7987240989367949,17
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Digital Marketing Executive",0.7817223294070259,18
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"Javascript Developer",0.7702595400533929,19
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Jobs,"System Engineer",0.759952497818957,20
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"SQL",-1,1
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"JavaScript",-1,2
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Sales Management",-1,3
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Business Analysis",-1,4
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Adobe Illustrator",-1,5
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Recruiting",-1,6
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Cascading Style Sheets (CSS)",-1,7
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Team Leadership",-1,8
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Employee Relations",-1,9
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Core Java",-1,10
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Tally ERP",-1,11
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Requirements Analysis",-1,12
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Employee Engagement",-1,13
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Android Development",-1,14
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,15
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Web Content Writing",-1,16
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Requirements Gathering",-1,17
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"PHP",-1,18
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Manual Testing",-1,19
2020-09-01,in,"India","Greater Ahmedabad Area","All",Top Trending Skills,"Digital Marketing",-1,20
