date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Unacademy",57.119524365661924,1
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Vedantu",44.6374300085674,2
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Embibe",34.9137533334843,3
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Syngene International Limited",10.277417354002333,4
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Simplilearn",16.94454410944361,5
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Employers,"Indian Institute of Science (IISc)",6.5810862639580785,6
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Business Development Executive",17.859877456429395,1
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Software Engineer",6.673476568079521,2
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Teacher",4.369298298011796,3
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Recruiter",3.7944782113525486,4
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Professor",2.3780536001966195,5
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Academic Advisor",1.9780724796135554,6
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Jobs,"Inside Sales Manager",1.8257841551829406,7
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"SQL",-1,1
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"JavaScript",-1,2
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Teaching",-1,3
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Recruiting",-1,4
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Higher Education",-1,5
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Screening",-1,6
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Lead Generation",-1,7
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Educational Leadership",-1,8
2020-07-01,in,"India","Greater Bengaluru Area","Education",Top Trending Skills,"Customer Relationship Management (CRM)",-1,9
