date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Accenture",6.135761437071164,1
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Deloitte",12.489690423003886,2
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Tata Consultancy Services",4.546502835121323,3
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Amazon",7.2742235250209575,4
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Wipro Limited",3.52398660247644,5
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"HCL Technologies",5.847027564538186,6
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Capgemini",3.264109981328309,7
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Infosys",3.2438118535168905,8
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Oracle",4.669032317505452,9
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Wells Fargo",10.526490957612644,10
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"PwC",8.613518224987121,11
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Mindtree",5.385049049885012,12
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Unacademy",23.503908517036717,13
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Flipkart",5.857075344938894,14
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"JPMorgan Chase & Co.",5.800185417351442,15
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Walmart Global Tech India",11.353733841046934,16
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Intel Corporation",4.242626958772859,17
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Genpact",9.767168741633565,18
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"ITC Infotech",7.087701490709211,19
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Employers,"Microsoft",6.052458386880977,20
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Software Engineer",18.487613636270876,1
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"System Engineer",2.1263712097330676,2
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Business Development Executive",1.7887715722854807,3
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Business Analyst",1.73643070480673,4
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Application Developer",1.4168895953061602,5
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Recruiter",1.359231142207974,6
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Product Manager",1.0043910169127543,7
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Data Analyst",0.9894911434710185,8
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Data Scientist",0.9489088934315733,9
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Project Manager",0.9242673830915435,10
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Business Development Manager",0.8308065462578543,11
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Project Engineer",0.8140640577324667,12
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Data Engineer",0.7998558332612984,13
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Sales Manager",0.7042900940037755,14
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Quality Assurance Engineer",0.6883357220169953,15
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Design Engineer",0.6836661352366742,16
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"DevOps Engineer",0.6815933859615402,17
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Full Stack Engineer",0.6323767175917359,18
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Human Resources Executive",0.6129294660511155,19
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Jobs,"Test Engineer",0.6088982322702257,20
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"SQL",-1,1
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"JavaScript",-1,2
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Sales Management",-1,3
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Business Analysis",-1,4
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Recruiting",-1,5
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"AutoCAD",-1,6
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Team Leadership",-1,7
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Employee Relations",-1,8
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Core Java",-1,9
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Requirements Analysis",-1,10
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"CATIA",-1,11
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Data Analysis",-1,12
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,13
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Manual Testing",-1,14
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Requirements Gathering",-1,15
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Java",-1,16
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Project Engineering",-1,17
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Test Automation",-1,18
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Machine Learning",-1,19
2021-01-01,in,"India","Greater Bengaluru Area","All",Top Trending Skills,"Screening",-1,20
