date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Wells Fargo",8.404548957831105,1
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"JPMorgan Chase & Co.",3.0182738816845087,2
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Standard Chartered Bank",3.6284767167000664,3
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Morgan Stanley",5.675087754079238,4
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"HSBC",2.600868999769459,5
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"ICICI Bank",5.744295076872464,6
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Commonwealth Bank",30.222923873188563,7
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"State Street",2.5678077332364118,8
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Paytm",9.717726201362517,9
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"HDFC Bank",3.0856010111891194,10
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Axis Bank",3.6492703304108995,11
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Kotak Mahindra Bank",4.294607562674719,12
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"ANZ",1.3927631415901105,13
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Employers,"Deutsche Bank",3.0924509797778352,14
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Software Engineer",14.90320598444228,1
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Content Analyst",3.176149519827435,2
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Business Analyst",2.9030011377802563,3
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Financial Analyst",2.858986855511099,4
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Relationship Manager",2.597126860976555,5
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Jobs,"Product Manager",1.9167159642394405,6
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"SQL",-1,1
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"JavaScript",-1,2
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Business Analysis",-1,3
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Requirements Gathering",-1,4
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Financial Analysis",-1,5
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Team Leadership",-1,6
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Business Relationship Management",-1,7
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Financial Reporting",-1,8
2021-03-01,in,"India","Greater Bengaluru Area","Finance",Top Trending Skills,"Product Strategy",-1,9
