date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Tata Consultancy Services",1.0433497745123577,1
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"HCL Technologies",1.3367230578187317,2
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Accenture",2.522730494224952,3
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Infosys",1.7328969989783776,4
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Freshworks",11.273369831699222,5
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Amazon",3.958183630908759,6
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Wipro Limited",1.1998343653214127,7
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Standard Chartered Bank",2.977033908590914,8
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Zoho Corporation",2.2744993899033394,9
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Capgemini",2.402744842362748,10
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Employers,"Hexaware Technologies",3.149398737697114,11
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Software Engineer",13.65453800143366,1
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"System Engineer",2.433095735968102,2
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Business Analyst",1.7052195266065207,3
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Recruiter",1.5712406144274722,4
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Design Engineer",1.4993547010761303,5
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Human Resources Executive",1.2672324840751494,6
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Application Developer",1.1955318582097945,7
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Sales Manager",1.1282786396805484,8
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Project Manager",1.0131023328549826,9
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Programming Analyst",1.0001983534438754,10
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Test Engineer",0.9336277585073476,11
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Human Resources Manager",0.9249234454354749,12
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"General Manager",0.8842284824754527,13
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Data Analyst",0.866221923285401,14
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Business Development Executive",0.8303451200528982,15
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Jobs,"Business Development Manager",0.8133957900171342,16
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"SQL",-1,1
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"JavaScript",-1,2
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Sales Management",-1,3
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Business Analysis",-1,4
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Recruiting",-1,5
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"AutoCAD",-1,6
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Team Leadership",-1,7
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Employee Relations",-1,8
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Core Java",-1,9
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Requirements Analysis",-1,10
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"CATIA",-1,11
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Data Analysis",-1,12
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Employee Engagement",-1,13
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,14
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Manual Testing",-1,15
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Requirements Gathering",-1,16
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Java",-1,17
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Test Automation",-1,18
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Screening",-1,19
2020-02-01,in,"India","Greater Chennai Area","All",Top Trending Skills,"Tableau",-1,20
