date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Employers,"CARS24",9.804309141462424,1
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Jobs,"Sales Manager",5.693678667407068,1
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Jobs,"General Manager",2.553083711945523,2
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Jobs,"Design Engineer",2.3113507845433223,3
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Jobs,"Sales Executive",2.1672923369691977,4
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Jobs,"Software Engineer",2.1579745911600963,5
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"SQL",-1,1
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"JavaScript",-1,2
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"AutoCAD",-1,4
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"Team Leadership",-1,5
2020-03-01,in,"India","Greater Delhi Area","Manufacturing",Top Trending Skills,"CATIA",-1,6
