date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"Deloitte",4.68559855952077,1
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"WNS Global Services",4.83629665213574,2
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"PwC",4.427349199327977,3
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"ZS",8.416258786321897,4
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"Morneau Shepell",124.71789736376292,5
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"McKinsey & Company",8.602258895986434,6
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"IHS Markit",7.132447130757762,7
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"Axtria - Ingenious Insights",12.4643490010736,8
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Employers,"Mercer",4.014730910099147,9
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Jobs,"Software Engineer",4.369669413426517,1
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Skills,"SQL",-1,1
2020-05-01,in,"India","Greater Delhi Area","Corporate Services",Top Trending Skills,"JavaScript",-1,2
