date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Vedantu",36.11077685388418,1
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Indian Institute of Technology, Delhi",5.444851213746584,2
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Doubtnut",47.46155279697368,3
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Unacademy",23.644349472220075,4
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Extramarks Education India Pvt. Ltd.",22.50537690746149,5
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Great Learning",30.383768565540525,6
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"upGrad",53.82266256233087,7
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Coding Ninjas India",26.131797013391978,8
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"NIIT Limited",4.1540514942069615,9
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"O.P. Jindal Global University (JGU)",29.537493849412666,10
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Employers,"Delhi School Of Management, Delhi Technological University",86.88669636858273,11
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Business Development Executive",7.263614917769617,1
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Campus Ambassador",6.57694075848608,2
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Professor",6.044144617535783,3
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Teacher",4.679492227527316,4
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Content Writer",2.566601037806468,5
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Business Development Manager",2.4136324650253766,6
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Sales Manager",2.228703598517584,7
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Placement Coordinator",2.178522794736563,8
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Software Engineer",1.7786898223151901,9
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Academic Advisor",1.7171774583783106,10
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Secretary",1.6135623107848212,11
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Human Resources Executive",1.40578271938727,12
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Content Developer",1.3076996959749683,13
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Human Resources Manager",1.2581843221197702,14
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Admissions Counselor",1.2528975593678267,15
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Graphic Designer",0.9785430678629976,16
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Jobs,"Project Manager",0.9020492448979234,17
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"SQL",-1,1
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"JavaScript",-1,2
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Sales Management",-1,3
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Teaching",-1,4
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Adobe Illustrator",-1,5
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Recruiting",-1,6
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Team Leadership",-1,7
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Employee Relations",-1,8
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Higher Education",-1,9
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Requirements Analysis",-1,10
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Employee Engagement",-1,11
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Software Development Life Cycle (SDLC)",-1,12
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Web Content Writing",-1,13
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Writing",-1,14
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Lead Generation",-1,15
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Educational Leadership",-1,16
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Company Secretarial Work",-1,17
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"C (Programming Language)",-1,18
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"C++",-1,19
2020-11-01,in,"India","Greater Delhi Area","Education",Top Trending Skills,"Company Law",-1,20
