date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Amazon",11.789673222146794,1
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Deloitte",4.837970331920135,2
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Microsoft",6.8613650958647705,3
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Wells Fargo",9.049715377974058,4
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Novartis",7.211241787762443,5
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Tata Consultancy Services",1.5651795648722058,6
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Optum",19.08468470832912,7
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"DXC Technology",10.624477716687657,8
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Infosys",1.1164681005438248,9
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Qualcomm",5.1295692282616105,10
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"HCL Technologies",4.682218960200289,11
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"ServiceNow",13.135153697261975,12
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Wipro Limited",1.4723612605980776,13
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Micron Technology",24.2076856129368,14
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Capgemini",1.874834098878646,15
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Accenture",1.007678554545156,16
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"PepsiCo",20.437057374208226,17
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"JPMorgan Chase & Co.",4.119287269718281,18
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"Oracle",2.0792763322371988,19
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Employers,"FactSet",6.049036361934653,20
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Software Engineer",19.24216220641234,1
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"System Engineer",1.7330772848596268,2
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Tax Consultant",1.4119582460563538,3
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Business Analyst",1.205151019351644,4
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Business Development Executive",1.1857621475267621,5
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Recruiter",1.1617550385228133,6
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Project Manager",1.0860615544386065,7
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Financial Analyst",0.9788458432854563,8
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Data Analyst",0.8408091205891052,9
2020-08-01,in,"India","Greater Hyderabad Area","All",Top Trending Jobs,"Business Development Manager",0.8070546320718698,10
