date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Amazon",11.034216171602734,1
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",2.4149279749317154,2
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Wipro Limited",2.7636777523852984,3
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Microsoft",5.088142593346856,4
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Accenture",1.4068259596488153,5
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Oracle",3.533831676374237,6
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Infosys",1.0453732908644127,7
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Capgemini",2.083051652010834,8
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"ServiceNow",11.756133408430806,9
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"DXC Technology",8.173932857562164,10
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"HCL Technologies",3.7542769811899266,11
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Virtusa",6.064011335762227,12
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Genpact",1.3870388574856445,13
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"ValueLabs",3.5486831016813136,14
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Infosys Ltd",5.45864410094424,15
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"FactSet",4.508853718399006,16
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Arcesium",9.689963969708659,17
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"GlobalLogic",9.864012398970843,18
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Optum Global Solutions",6.765967754543069,19
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Employers,"Pegasystems",5.489808043898732,20
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Software Engineer",28.160975129576766,1
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"System Engineer",3.9951352631281405,2
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Recruiter",2.127712629573815,3
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Business Analyst",2.0863113355846745,4
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Project Engineer",1.2949695330879056,5
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Application Developer",1.1637797900497715,6
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Project Manager",0.9750266506870896,7
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Quality Assurance Engineer",0.8576046866055618,8
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Sales Recruiter",0.8441282914134542,9
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"Application Engineer",0.8399310152934693,10
2020-09-01,in,"India","Greater Hyderabad Area","Software & IT Services",Top Trending Jobs,"User Experience Designer",0.7708965681046966,11
