date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Jobs,"Sales Manager",4.497740289607211,1
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Jobs,"Design Engineer",2.621844478885917,2
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Jobs,"Sales Executive",2.4142239230952893,3
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Jobs,"Marketing Manager",2.306450843030047,4
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Jobs,"Project Engineer",2.17525746872629,5
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Skills,"Sales Management",-1,1
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Skills,"AutoCAD",-1,2
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Skills,"CATIA",-1,3
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Skills,"Marketing Strategy",-1,4
2020-02-01,in,"India","Mumbai Metropolitan Region","Manufacturing",Top Trending Skills,"Project Engineering",-1,5
