date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Employers,"Archipelago International Hotels, Resorts & Residences",11.515690445462944,1
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Employers,"PT Grahawita Santika (Santika Hotels & Resorts)",10.274130008565065,2
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Employers,"RedDoorz",8.32314566128702,3
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Chef",5.569497746248536,1
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Sales Manager",2.829774576560252,2
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Sales Executive",2.817924253343234,3
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Food Server",2.770184888074316,4
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Cook",2.34103782991154,5
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Commis Chef",2.339907921743575,6
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Room Attendant",1.7797498368271534,7
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"General Manager",1.7032333948414635,8
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Jobs,"Business Development Manager",1.6628832183972735,9
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Sales Management",-1,1
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Marketing Strategy",-1,2
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Negotiation",-1,3
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Cooking",-1,4
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Culinary Skills",-1,5
2020-01-01,id,"Indonesia","All","Recreation & Travel",Top Trending Skills,"Housekeeping",-1,6
