date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Shopee",20.551894610496156,1
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Telkom Indonesia",5.154504176826384,2
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Tokopedia",4.240620961087838,3
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Gojek",3.0828485745547036,4
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Lazada",8.602700308069018,5
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Bukalapak",4.5979789056982305,6
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"SIRCLO",18.315979840012634,7
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Grab",1.5838478565384086,8
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Datacomm Diangraha",18.077339044908296,9
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Mitra Integrasi Informatika, PT",5.1700780909244095,10
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Traveloka",3.3096864411543185,11
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Alodokter",11.27375242522259,12
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"ByteDance",32.434127440326606,13
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"tiket.com",5.891531507626008,14
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Fiverr",6.767831319026292,15
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Appen",11.25600832473955,16
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"Sociolla",10.953270804485307,17
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Employers,"JD.ID",4.813588974548589,18
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Software Engineer",6.825695631234925,1
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Operations Analyst",3.8419432906700655,2
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Back End Developer",3.2195104687488754,3
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Frontend Developer",2.2147458907808626,4
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Account Manager",2.0613821265920778,5
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Graphic Designer",1.8616830713090182,6
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Project Manager",1.7508588960088582,7
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Web Developer",1.6099537351829236,8
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Android Developer",1.5867127845491977,9
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Full Stack Engineer",1.4973719109760297,10
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Account Executive",1.4754257257783956,11
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Customer Service Representative",1.3073591654772876,12
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Business Development Executive",1.1989132427488636,13
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.1071412951327884,14
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Content Writer",1.0637176496167544,15
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Business Analyst",1.0555830587022763,16
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Data Scientist",1.0437605434281492,17
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.0287496016345337,18
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"User Interface Designer",1.0034057664487037,19
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Jobs,"Sales Manager",0.9456507370115134,20
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Skills,"Adobe Illustrator",-1,1
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Skills,"Project Management",-1,2
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Skills,"MySQL",-1,3
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Skills,"PHP",-1,4
2020-10-01,id,"Indonesia","All","Software & IT Services",Top Trending Skills,"Sales Management",-1,5
