date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Shopee",8.309075093166834,1
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Ruangguru",6.159815050211613,2
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Tokopedia",4.007044456116341,3
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Telkom Indonesia",2.501881059793553,4
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT Bank Mandiri (Persero) Tbk.",1.0570343060045835,5
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"University of Indonesia",5.1710198010899004,6
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Universitas Gadjah Mada (UGM)",7.987999222604783,7
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT Bank Rakyat Indonesia (Persero) Tbk",1.5235183338946903,8
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT Bank Central Asia Tbk",1.2391223269869716,9
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT Pertamina (Persero)",1.711736504455045,10
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Grab",1.566687524383414,11
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"bliblidotcom",3.8175887923727316,12
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Gojek",1.232779003218425,13
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"AIESEC",16.00352260565815,14
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Shipper",14.896278510580254,15
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT. BANK NEGARA INDONESIA (Persero) Tbk.",0.9529924879160471,16
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT. Mayora Indah Tbk",2.064642756479302,17
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Siloam Hospitals Group",4.625687363079536,18
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"PT HM Sampoerna Tbk.",1.344483851840279,19
2021-04-01,id,"Indonesia","All","All",Top Trending Employers,"Bank OCBC NISP",1.815951808428314,20
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Graphic Designer",2.4171781776196557,1
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Lecturer",2.4114359681902795,2
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Software Engineer",2.336537117133029,3
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Sales Manager",1.517693942847665,4
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Account Executive",1.2870621662315098,5
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Content Writer",1.245578780279038,6
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Back End Developer",1.0129836670239007,7
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Customer Service Representative",0.9769842855654489,8
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Account Manager",0.9358237054633696,9
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Sales Executive",0.916382243175141,10
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Operations Analyst",0.9052801312280522,11
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Secretary",0.8911854334209119,12
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Relationship Manager",0.8877731496866995,13
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Marketing Executive",0.7824828965353251,14
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Auditor",0.7798885057337877,15
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Teacher",0.7497643553475236,16
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Campus Ambassador",0.6857552376204707,17
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Project Manager",0.6812934385458814,18
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Product Manager",0.6511378836669425,19
2021-04-01,id,"Indonesia","All","All",Top Trending Jobs,"Business Analyst",0.637958927488775,20
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Adobe Illustrator",-1,1
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Project Management",-1,2
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"MySQL",-1,3
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"PHP",-1,4
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Sales Management",-1,5
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Teaching",-1,6
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Marketing Strategy",-1,7
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Auditing",-1,8
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Project Planning",-1,9
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Account Management",-1,10
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Curriculum Development",-1,11
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Business Analysis",-1,12
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Office Administration",-1,13
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Writing",-1,14
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Web Content Writing",-1,15
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Product Development",-1,16
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Company Secretarial Work",-1,17
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Laravel",-1,18
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Go (Programming Language)",-1,19
2021-04-01,id,"Indonesia","All","All",Top Trending Skills,"Business Process",-1,20
