date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",11.726092960141258,1
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Amazon",14.841224852876536,2
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Accenture",3.450106690282239,3
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Facebook",5.8113040451885745,4
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Microsoft",4.216810793612748,5
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"PayPal",6.456626388892047,6
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"Wix.com",56.29372689312026,7
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"HubSpot",10.031196619422452,8
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Employers,"eShopWorld",18.566271824437344,9
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Software Engineer",10.41948574887759,1
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Quality Analyst",4.143715364227667,2
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Account Executive",3.2732042780015616,3
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Customer Care Professional",2.129262091859062,4
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Customer Service Representative",1.6863232746985781,5
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Support Associate",1.543560386859099,6
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Business Development Representative",1.5250077550315264,7
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",1.4110057302352024,8
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Sales Development Representative",1.3277556953378435,9
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Jobs,"Account Manager",1.2903312068291846,10
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Skills,"Account Management",-1,2
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Skills,"Customer Relationship Management (CRM)",-1,3
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Skills,"Customer Satisfaction",-1,4
2020-09-01,ie,"Ireland","All","Software & IT Services",Top Trending Skills,"Salesforce.com",-1,5
