date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,it,"Italy","All","Public Administration",Top Trending Employers,"ANPAL Servizi",12.96857575242974,1
2020-02-01,it,"Italy","All","Public Administration",Top Trending Employers,"Ministero delle Infrastrutture e Trasporti",19.99049304730032,2
2020-02-01,it,"Italy","All","Public Administration",Top Trending Employers,"Comune di Milano",6.20960071462782,3
2020-02-01,it,"Italy","All","Public Administration",Top Trending Employers,"FAO",2.503542530154773,4
2020-02-01,it,"Italy","All","Public Administration",Top Trending Jobs,"Psychologist",5.794952250393971,1
2020-02-01,it,"Italy","All","Public Administration",Top Trending Jobs,"Lawyer",4.722823824798746,2
2020-02-01,it,"Italy","All","Public Administration",Top Trending Jobs,"Teacher",3.7609899275830827,3
2020-02-01,it,"Italy","All","Public Administration",Top Trending Jobs,"Judge",3.451202260390481,4
2020-02-01,it,"Italy","All","Public Administration",Top Trending Jobs,"Administrative Officer",2.726307787606863,5
2020-02-01,it,"Italy","All","Public Administration",Top Trending Skills,"Litigation",-1,1
2020-02-01,it,"Italy","All","Public Administration",Top Trending Skills,"Legal Advice",-1,2
2020-02-01,it,"Italy","All","Public Administration",Top Trending Skills,"Teaching",-1,3
2020-02-01,it,"Italy","All","Public Administration",Top Trending Skills,"Psychological Assessment",-1,4
