date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Jobs,"Chef",5.087093566028943,1
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Jobs,"Food Server",2.9608608022198055,2
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Jobs,"Receptionist",2.276471815972793,3
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Jobs,"Social Media Manager",2.086440302895564,4
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Social Media Marketing",-1,1
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Culinary Skills",-1,2
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Cooking",-1,3
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Instagram",-1,4
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Receptionist Duties",-1,5
2020-04-01,it,"Italy","All","Recreation & Travel",Top Trending Skills,"Front Office",-1,6
