date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"Generali",3.115056940372104,1
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"ALLEANZA ASSICURAZIONI",5.14563754421016,2
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"Intesa Sanpaolo",0.7840517624692708,3
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"UniCredit",0.8849947649777848,4
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"Prima Assicurazioni",29.636782953674672,5
2020-06-01,it,"Italy","All","Finance",Top Trending Employers,"Findomestic Banca SpA",4.061655403518619,6
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Insurance Advisor",7.747836281334155,1
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Financial Advisor",7.35109207171406,2
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Account Manager",2.9165375783492915,3
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Software Engineer",2.4406469766459,4
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Credit Analyst",1.9257602657476947,5
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Project Manager",1.7089249314874777,6
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Administration Employee",1.6604976967449805,7
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Credit Advisor",1.6514479592993532,8
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Insurance Broker",1.6497954063210214,9
2020-06-01,it,"Italy","All","Finance",Top Trending Jobs,"Back Office Employee",1.6376603762890887,10
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Project Management",-1,1
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"JavaScript",-1,2
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Project Planning",-1,3
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Sales Management",-1,4
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Business Planning",-1,5
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Invoicing",-1,6
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Investments",-1,7
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Portfolio Management",-1,8
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Insurance",-1,9
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"Back Office Operations",-1,10
2020-06-01,it,"Italy","All","Finance",Top Trending Skills,"General Insurance",-1,11
