date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,it,"Italy","All","Retail",Top Trending Employers,"lidl-italia-srl",6.708813917333141,1
2020-10-01,it,"Italy","All","Retail",Top Trending Employers,"Leroy Merlin",6.515273833243531,2
2020-10-01,it,"Italy","All","Retail",Top Trending Employers,"Esselunga",4.262485197832693,3
2020-10-01,it,"Italy","All","Retail",Top Trending Employers,"Unieuro S.p.A.",8.68158783285318,4
2020-10-01,it,"Italy","All","Retail",Top Trending Jobs,"Salesperson",15.08615291990109,1
2020-10-01,it,"Italy","All","Retail",Top Trending Jobs,"Store Manager",7.666400205015174,2
2020-10-01,it,"Italy","All","Retail",Top Trending Jobs,"Cashier",6.885982134596973,3
2020-10-01,it,"Italy","All","Retail",Top Trending Jobs,"Pharmacist",3.186517519773322,4
2020-10-01,it,"Italy","All","Retail",Top Trending Skills,"Sales Management",-1,1
2020-10-01,it,"Italy","All","Retail",Top Trending Skills,"Store Management",-1,2
2020-10-01,it,"Italy","All","Retail",Top Trending Skills,"Visual Merchandising",-1,3
2020-10-01,it,"Italy","All","Retail",Top Trending Skills,"Pharmacy",-1,4
2020-10-01,it,"Italy","All","Retail",Top Trending Skills,"Retail",-1,5
