date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Employers,"PwC",5.006329397591931,1
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Employers,"business-integration-partners",7.6613755957063185,2
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Employers,"KPMG Italy",5.465125808403624,3
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Employers,"Randstad Italia",8.110398820812893,4
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Employers,"Be | Shaping the Future Italy",8.409296427340852,5
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Business Analyst",5.090959638656115,1
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Teacher",3.222131835668201,2
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Project Manager",2.7338501144850853,3
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Recruiter",2.3590349567307864,4
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Account Manager",2.157222458972458,5
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Salesperson",1.9451462526390875,6
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Business Consultant",1.7641668537740722,7
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Tax Preparer",1.3761894887335633,8
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Accountant",1.3293147308171533,9
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Human Resources Advisor",1.1373807932636746,10
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Tax Consultant",1.1218384633625016,11
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Jobs,"Administration Employee",1.028203204092487,12
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Project Management",-1,1
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Teaching",-1,2
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Sales Management",-1,3
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Project Planning",-1,4
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Business Planning",-1,5
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Invoicing",-1,6
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"General Ledger",-1,7
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Recruiting",-1,8
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"SQL",-1,9
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Sourcing",-1,10
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Management Consulting",-1,11
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Tax Advisory",-1,12
2021-05-01,it,"Italy","All","Corporate Services",Top Trending Skills,"Tax Law",-1,13
