date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Employers,"Accenture Interactive",13.878447179790898,1
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Employers,"Caffeina | Ideas Never Sleep.",37.57708024337403,2
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Employers,"jakala-spa",7.227727430597067,3
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Social Media Manager",6.277230201643261,1
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Editor",4.094095943368146,2
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Account Manager",4.055880656772678,3
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Graphic Designer",3.792825672422114,4
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Copywriter",3.6681421458872965,5
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Project Manager",2.9516714948945455,6
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Art Director",2.9010891765316393,7
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Journalist",2.442893590749558,8
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Writer",2.4175224006063765,9
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Translator",2.269433306943969,10
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Jobs,"Content Writer",1.5069448683865994,11
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,2
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Project Planning",-1,3
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Graphics",-1,4
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Journalism",-1,5
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Translation",-1,6
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Social Media Marketing",-1,7
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Sales Management",-1,8
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Business Planning",-1,9
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Editing",-1,10
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Blogging",-1,11
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Art Direction",-1,12
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Copywriting",-1,13
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Instagram",-1,14
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Writing",-1,15
2021-05-01,it,"Italy","All","Media & Communications",Top Trending Skills,"Scrittura",-1,16
