date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Accenture",3.3686082858850566,1
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"PwC",5.001735529044366,2
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Generali",5.498111905604846,3
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Accenture Italia",5.714660579656669,4
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Luxottica",5.495102568191134,5
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"business-integration-partners",5.2749645104820555,6
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Intesa Sanpaolo",1.8160606439652214,7
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"The Story Lab",189.5973189342861,8
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Capgemini",5.319651542269793,9
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Employers,"Humanitas Research Hospital",6.624752807569434,10
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.480309865936143,1
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.9687709354030585,2
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Business Analyst",1.7681889383966187,3
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.633695618233419,4
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.426952963091837,5
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Sales Manager",1.3346829905863293,6
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Lawyer",1.3076336781234332,7
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Social Media Manager",1.1293809475020078,8
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Copywriter",0.9213622580658791,9
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Architect",0.9061881757358905,10
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Teacher",0.8898235926132064,11
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Accountant",0.7866354538935315,12
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Graphic Designer",0.7198472172170604,14
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Product Manager",0.7025997965701555,15
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Editor",0.6613939542032602,16
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Financial Advisor",0.6198214036230272,17
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Data Scientist",0.6184707699512954,18
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Back Office Employee",0.6133067326790962,19
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Jobs,"Business Development Manager",0.6107139032960537,20
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Project Management",-1,1
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Litigation",-1,2
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Legal Advice",-1,3
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Teaching",-1,4
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Architectural Design",-1,5
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,6
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Adobe Illustrator",-1,7
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,8
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Project Planning",-1,9
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Business Planning",-1,10
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Graphics",-1,11
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Social Media Marketing",-1,12
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Editing",-1,13
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"General Ledger",-1,14
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Investments",-1,15
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Product Development",-1,16
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Portfolio Management",-1,17
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Journalism",-1,18
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Copywriting",-1,19
2021-05-01,it,"Italy","Greater Milan Metropolitan Area","All",Top Trending Skills,"Instagram",-1,20
