date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Employers,"Noovle",93.77120463204247,1
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Employers,"Sapienza Università di Roma",2.764573746670839,2
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Employers,"Accenture",2.3635306609940594,3
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Employers,"Accenture Italia",6.244970518847466,4
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Project Manager",2.4756823906323904,1
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Medical Doctor",2.1480193062845245,2
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Lawyer",1.9555501266901218,3
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Teacher",1.9096751756932668,4
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Software Engineer",1.6759547740870424,5
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.5178774789410747,6
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Salesperson",1.454576082829903,7
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Sales Manager",1.4051400165387344,8
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Jobs,"Business Analyst",1.3793059954070963,9
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Project Management",-1,1
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Legal Advice",-1,2
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Litigation",-1,3
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Teaching",-1,4
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Sales Management",-1,5
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,6
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Project Planning",-1,7
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Clinical Research",-1,8
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"Business Planning",-1,9
2021-03-01,it,"Italy","Greater Rome Metropolitan Area","All",Top Trending Skills,"SQL",-1,10
