date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"PETRONAS",3.285673188778043,1
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Accenture",9.229105977001446,2
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"CIMB",7.944294691552958,3
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"TDCX",12.922894645675576,4
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Top Glove",9.159611869351938,5
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Maxis",6.615561196629099,6
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Intel Corporation",2.9406977185495555,7
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"RHB Banking Group",5.1619219601277235,8
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Shopee",14.280263350332842,9
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Citi",6.2203392377397755,10
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Deloitte",7.923702674441587,11
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Maybank",2.830587980616239,12
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Standard Chartered Bank",2.833393382167242,13
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"foodpanda",20.228011392406692,14
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Concentrix",12.378401752470609,15
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Teleperformance",14.061344643985882,16
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"ByteDance",32.28978162384022,17
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Universiti Teknologi MARA",6.4952083676209815,18
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"Malaysia Marine & Heavy Engineering",12.078105445488637,19
2020-04-01,my,"Malaysia","All","All",Top Trending Employers,"GREAT EASTERN",3.4367996901040554,20
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Software Engineer",2.6036383760036053,1
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Lecturer",1.429848107346826,2
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Project Engineer",1.230125297436451,3
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Marketing Executive",1.2069457608557397,4
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Graphic Designer",1.1739946937297454,5
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Human Resources Executive",1.1538578170817768,6
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Project Manager",1.150198247002039,7
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Account Executive",1.1339980518307298,8
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Sales Manager",1.1282264180783472,9
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Business Development Manager",1.061243960125208,10
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Sales Executive",0.957195719562238,11
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Account Manager",0.9474777432156307,12
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Customer Service Representative",0.7874320804046233,13
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Business Development Executive",0.7804807948617651,14
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Business Analyst",0.7231188903421047,15
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Content Moderator",0.6886357437716243,16
2020-04-01,my,"Malaysia","All","All",Top Trending Jobs,"Audit Associate",0.6818865630823984,17
