date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"Accenture",7.2523695977631615,1
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"Shopee",10.995629806826246,2
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"ByteDance",13.5717118918979,3
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"foodpanda",8.802573328349151,4
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"Concentrix",4.820461565793121,5
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Employers,"Oracle",9.511994456369933,6
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Jobs,"Software Engineer",7.3381891049547745,1
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Jobs,"Content Moderator",3.3589330189986404,2
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Jobs,"Process Executive",3.2283097777706398,3
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Jobs,"Project Manager",1.8009284674269317,4
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Jobs,"Business Development Executive",1.781205815961159,5
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Skills,"Project Management",-1,1
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,2
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Skills,"C#",-1,3
2021-02-01,my,"Malaysia","All","Software & IT Services",Top Trending Skills,"Project Planning",-1,4
