date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Employers,"ByteDance",42.629315479106495,1
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Employers,"Shopee",20.717682494039682,2
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Employers,"foodpanda",27.855624413817765,3
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Employers,"Accenture",2.259641098858447,4
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Employers,"Concentrix",9.602732410604965,5
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Jobs,"Software Engineer",8.404893880049388,1
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Jobs,"Content Moderator",4.166507329523366,2
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Jobs,"Business Development Executive",2.7069843495314503,3
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Jobs,"Customer Service Representative",2.6091512653760187,4
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Jobs,"Business Development Manager",2.0010761720734136,5
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Skills,"JavaScript",-1,1
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Skills,"C#",-1,2
2020-08-01,my,"Malaysia","Greater Kuala Lumpur","Software & IT Services",Top Trending Skills,"Sales Management",-1,3
