date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"UWV",6.208380322897603,1
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"City of Amsterdam",5.53904086169539,2
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Belastingdienst",4.656276562943997,3
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Rijkswaterstaat",5.440030424483813,4
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Gemeente Rotterdam",3.9616589271317544,5
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Immigratie- en Naturalisatiedienst (IND)",12.738503329708697,6
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Gemeente Den Haag",4.677518400825694,7
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Justitie en Veiligheid",4.058989341348493,8
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Gemeente Utrecht",6.00457138341512,9
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Netherlands Enterprise Agency (RVO)",6.1612456746053,10
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Binnenlandse Zaken en Koninkrijksrelaties",5.434696826119874,11
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Financiën",5.679412120431975,12
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Kadaster",6.130842726409343,13
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Buitenlandse Zaken",4.60895627853889,14
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Sociale Verzekeringsbank",4.135721110718348,15
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Kamer van Koophandel",7.97269411558428,16
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Provincie Zuid-Holland",6.609254991652811,17
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Gemeente Tilburg",6.729877720464448,18
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Volksgezondheid, Welzijn en Sport",6.106487591703829,19
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Employers,"Ministerie van Economische Zaken en Klimaat",4.763552199378958,20
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Policy Officer",7.601845111632326,1
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Policy Advisor",4.297834135197523,2
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Communications Advisor",4.175470701972989,3
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Project Manager",3.5340154431130752,4
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Secretary",2.508295122822478,5
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Lawyer",2.168920850535491,6
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Strategic Advisor",1.9792127381552178,7
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Solicitor",1.8535151216054784,8
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Case Manager",1.8280301512142703,9
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Financial Advisor",1.7513387499933106,10
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Customer Manager",1.530438998526034,11
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Human Resources Advisor",1.2997467455672402,12
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Jobs,"Program Manager",1.2403190871179701,13
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Process Management",-1,1
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Corporate Communications",-1,2
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Legal Advice",-1,3
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Interim Management",-1,4
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"HR Consulting",-1,5
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Local Government",-1,6
2020-02-01,nl,"Netherlands","All","Public Administration",Top Trending Skills,"Coaching",-1,7
