date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Jumbo Supermarkten",6.566910823636042,1
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"ASML",4.6304994264548425,2
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Belastingdienst",4.478208261380213,3
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Rijkswaterstaat",4.8533776975882725,4
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Philips",3.4833718284601094,5
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Ministerie van Defensie",3.2092116151759464,6
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"City of Amsterdam",3.857213584312539,7
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"UWV",3.860637295083015,8
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"ING",2.1600770783422987,9
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Technische Universiteit Delft",5.465313880711343,10
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Lidl Nederland",7.263736069183949,11
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"PostNL",5.849525703970829,12
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"UMC Utrecht",4.777560062624632,13
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Erasmus MC",4.455379420219625,14
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Booking.com",3.9035382187070535,15
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Nederlandse Spoorwegen",4.6545945216517035,16
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Utrecht University",4.603568524259523,17
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Coolblue",11.349466982035969,18
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"Cegeka",68.80291683284977,19
2020-04-01,nl,"Netherlands","All","All",Top Trending Employers,"University of Amsterdam",5.322989322627867,20
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Account Manager",2.421634749551648,1
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Project Manager",2.246223065533703,2
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Software Engineer",2.0614494871350524,3
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Teacher",1.9179872690229371,4
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Accompanist",1.7844141760329784,5
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Nurse",1.5878001657329346,6
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Sales Agent",1.1028354172068477,7
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Salesperson",1.051252055574167,8
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Psychologist",1.0387302330545307,9
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Sales Manager",0.8189103339871998,10
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Human Resources Advisor",0.7459203047116139,11
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Customer Service Representative",0.7399605427707823,12
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Secretary",0.6990720061150613,13
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Communications Advisor",0.6838571563594218,14
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Policy Officer",0.6623674325070353,15
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Office Manager",0.6455432510222519,16
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Recruiter",0.6066114312215822,17
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Financial Advisor",0.5830825740786697,18
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Cashier",0.5623140839155324,19
2020-04-01,nl,"Netherlands","All","All",Top Trending Jobs,"Accountant",0.5421306331147931,20
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Teaching",-1,1
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Account Management",-1,2
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Coaching",-1,3
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Nursing",-1,4
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Scrum",-1,5
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Recruiting",-1,6
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Sales Management",-1,7
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Process Management",-1,8
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Business-to-Business (B2B)",-1,9
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Financial Reporting",-1,10
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Financial Accounting",-1,11
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"EMDR",-1,12
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Office Administration",-1,13
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Corporate Communications",-1,14
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Interim Management",-1,15
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"HR Consulting",-1,16
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Local Government",-1,17
2020-04-01,nl,"Netherlands","All","All",Top Trending Skills,"Cooperation",-1,18
