date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"ING",3.0240931949397134,1
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Nationale-Nederlanden",7.415607537586248,2
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Adyen",15.91093239802639,3
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"a.s.r.",7.215760011541065,4
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"ING Nederland",3.200055947185802,5
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Achmea",3.529519937550487,6
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"SOS International",59.635494363858434,7
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"de Volksbank",6.059360206254789,8
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"De Nederlandsche Bank",6.5970705143571715,9
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"B&R Beurs Erasmus Investment Society",42.71309582641846,10
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"CZ",7.305669947172938,11
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Coöperatie VGZ",5.506812537043727,12
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Mollie",28.627607978238633,13
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"APG",5.3329413566431105,14
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Baker Tilly Netherlands",11.317859230047715,15
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Univé Verzekeringen",7.230788277896632,16
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"Aegon",6.530786442029102,17
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"BinckBank",17.705429585247188,18
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"PGGM",6.96444725627689,19
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Employers,"International Card Services",10.975855118515081,20
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Financial Advisor",4.0526976038106515,1
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Anti-Money Laundering Analyst",3.6453931206942096,2
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Accountant",3.3989917131989364,3
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Software Engineer",2.989606965313001,4
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Customer Advisor",2.3589637835838295,5
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Account Manager",2.12124280437323,6
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Underwriter",1.817141102317151,7
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Business Analyst",1.7731557691522053,8
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Data Analyst",1.230295889901968,9
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Claims Handler",1.1945145700733972,10
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Customer Service Representative",1.1547631682002062,11
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Case Manager",1.0864313156317869,12
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Compliance Officer",0.9881941720062034,13
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Financial Analyst",0.9578232724219096,14
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Legal Counsel",0.9388033537459338,15
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Project Manager",0.9308040061604353,16
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Product Owner",0.9009012688755588,17
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"DevOps Engineer",0.8513220557357417,18
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Jobs,"Auditor",0.8405114667270221,19
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Account Management",-1,1
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Scrum",-1,2
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Process Management",-1,3
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Financial Reporting",-1,4
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Financial Accounting",-1,5
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Business Analysis",-1,6
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Agile Methodologies",-1,7
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"SQL",-1,8
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Coaching",-1,9
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Auditing",-1,10
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"R (Programming Language)",-1,11
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Legal Advice",-1,12
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Insurance",-1,13
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Contract Law",-1,14
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"DevOps",-1,15
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Financial Analysis",-1,16
2020-11-01,nl,"Netherlands","All","Finance",Top Trending Skills,"Ansible",-1,17
