date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Jumbo Supermarkten",4.752361065574454,1
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Picnic Technologies",13.942820858994413,2
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Lidl Nederland",4.342027679127787,3
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"MediaMarkt Nederland",9.218160623837496,4
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Action",4.7323503550570685,5
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"PLUS Retail",5.376747219850617,6
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"de Bijenkorf",6.227249641184274,7
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"HEMA",3.9990425328021098,8
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Sligro Food Group",6.558607051741232,9
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Makro Nederland",8.016672390052232,10
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Aldi Nederland",4.784739638939308,11
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"Coop Supermarkten",4.794974880306085,12
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Employers,"The Sting",6.677494996083564,13
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Sales Agent",12.249186070950092,1
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Salesperson",7.006038477349873,2
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Cashier",6.829286796674222,3
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Account Manager",2.8305696711755304,4
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Store Associate",2.5047088380022093,5
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Customer Service Representative",2.4709053309552362,6
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Delivery Driver",2.409026783275377,7
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Commercial Associate",1.9354080135797602,8
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Warehouse Associate",1.8464199083330195,9
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Merchandiser",1.6038983085812042,10
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Order Picker",1.5910539789413158,11
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Marketer",1.5387118210206445,12
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Project Manager",1.415237877405946,13
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Logistics Officer",1.3148691349998427,14
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Support Associate",1.284628872170611,15
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Store Manager",1.2353155704816092,16
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Online Marketer",1.0708197632058087,17
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Buyer",1.047762454750187,18
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Software Engineer",0.9369528143211651,19
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Jobs,"Sales Advisor",0.9253174189352179,20
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Account Management",-1,1
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Scrum",-1,2
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Process Management",-1,3
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Online Marketing",-1,4
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Retail",-1,5
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Google Analytics",-1,6
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Store Management",-1,7
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Logistics Management",-1,8
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Cooperation",-1,9
2020-12-01,nl,"Netherlands","All","Retail",Top Trending Skills,"Forklift Operation",-1,10
