date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Employers,"Prodrive Technologies",8.047628430539104,1
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Employers,"Vanderlande",4.296985499544088,2
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Employers,"Eneco",4.646533954778909,3
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Account Manager",4.498541637615542,1
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Project Manager",2.9303029013343296,2
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Software Engineer",2.54106668861493,3
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Sales Manager",2.125847062254938,4
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Mechanic",2.0083820133693324,5
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Mechanical Engineer",1.7747972768090856,6
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Buyer",1.2903222948168909,7
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Project Engineer",1.2850837366899095,8
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Merchandiser",1.1659972207641374,9
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Salesperson",1.0865439982751988,10
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Service Technician",0.9630747544994666,11
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Operations Manager",0.9166536560619529,12
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Process Operator",0.9046539880336302,13
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Customer Service Representative",0.9012775845622721,14
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Sales Engineer",0.8226385357317502,15
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Commercial Associate",0.7869599768655366,16
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Financial Controller",0.763946358461661,17
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Marketing Manager",0.754523705075341,18
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Human Resources Manager",0.7380252815822773,19
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Jobs,"Product Manager",0.7046316968146881,20
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Account Management",-1,1
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Scrum",-1,2
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Sales Management",-1,3
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Operations Management",-1,4
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Process Management",-1,5
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Business-to-Business (B2B)",-1,6
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Online Marketing",-1,7
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Financial Reporting",-1,8
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Project Engineering",-1,9
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"HR Consulting",-1,10
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Autodesk Inventor",-1,11
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Process Engineering",-1,12
2021-02-01,nl,"Netherlands","All","Manufacturing",Top Trending Skills,"Maintenance & Repair",-1,13
