date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Employers,"Gemeente Den Haag",4.293578325111478,1
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Jobs,"Teacher",2.1202256140274054,1
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Jobs,"Software Engineer",2.0774155303356467,2
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Jobs,"Account Manager",1.9750924190431067,3
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Jobs,"Project Manager",1.9563180432461431,4
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Jobs,"Customer Service Representative",1.603544868314415,6
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Skills,"Teaching",-1,1
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Skills,"Account Management",-1,2
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Skills,"Scrum",-1,3
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Skills,"Process Management",-1,4
2020-11-01,nl,"Netherlands","Den Haag","All",Top Trending Skills,"Interim Management",-1,5
