date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"Gemeente Rotterdam",5.651686194766269,1
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"Erasmus MC",5.320172776333203,2
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"GGD Rotterdam-Rijnmond",71.0345455918497,3
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"Erasmus University Rotterdam",11.708019696712519,4
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"Rotterdam School of Management, Erasmus University",18.192868744134792,5
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"Coolblue",9.27586347912379,6
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Employers,"B&R Beurs Erasmus Investment Society",42.02752261293858,7
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Teacher",2.5800220504061238,1
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Account Manager",2.14281512400844,2
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Project Manager",2.0990215393985783,4
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Software Engineer",1.712212344368861,5
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Customer Service Representative",1.372895587785012,6
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Nurse",1.096014110834623,7
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Jobs,"Accompanist",1.0357165995201412,8
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Teaching",-1,1
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Account Management",-1,2
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Coaching",-1,3
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Nursing",-1,4
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Scrum",-1,5
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Process Management",-1,6
2020-11-01,nl,"Netherlands","Rotterdam","All",Top Trending Skills,"Interim Management",-1,7
