date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Project Manager",3.181299338883935,1
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Psychologist",2.723501032922288,2
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Software Engineer",2.267183858602161,3
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Account Manager",1.6827353818167599,5
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Editor",1.6699178379691264,6
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Jobs,"Teacher",1.607069568590204,7
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Teaching",-1,1
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Account Management",-1,2
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Scrum",-1,3
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Process Management",-1,4
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Editing",-1,5
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"Interim Management",-1,6
2021-02-01,nl,"Netherlands","Utrecht","All",Top Trending Skills,"EMDR",-1,7
