date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"ASB Bank",7.201320805709405,1
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Westpac New Zealand",9.778234136372161,2
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"The University of Auckland",3.2420040757433406,3
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Fisher & Paykel Healthcare",9.812525590846327,4
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Fonterra",6.491485806353993,5
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Xero",11.66436437544359,6
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Barfoot & Thompson",9.188528995989147,7
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"The Warehouse Group",8.822178827586374,8
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Employers,"Auckland DHB",4.985965929718101,9
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Project Manager",2.4534745039628847,1
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Software Engineer",2.3433557024170515,2
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Account Manager",1.5698827790080165,3
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Business Development Manager",1.5214883156399042,4
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Business Analyst",1.442099987226263,5
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Customer Service Representative",1.274207885650117,6
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"General Manager",1.120249370208354,7
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Accountant",1.0115439648013262,8
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Product Manager",0.8551873722870464,9
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Sales Manager",0.8509847780519796,10
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Salesperson",0.7647884716855666,11
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Quantity Surveyor",0.7505999065157561,13
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Graphic Designer",0.7475651735192254,14
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Jobs,"Operations Manager",0.7419155330600531,15
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"JavaScript",-1,1
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Project Planning",-1,2
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Account Management",-1,3
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Financial Reporting",-1,4
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Operations Management",-1,5
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Sales Management",-1,6
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Business Analysis",-1,7
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Adobe Creative Suite",-1,8
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Change Management",-1,9
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Project Delivery",-1,10
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Time Management",-1,11
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Quantity Surveying",-1,12
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Requirements Gathering",-1,13
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Cost Management",-1,14
2020-10-01,nz,"New Zealand","Auckland","All",Top Trending Skills,"Strategy",-1,15
