date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,no,"Norway","All","Construction",Top Trending Employers,"Norconsult AS",5.948806935637017,1
2020-09-01,no,"Norway","All","Construction",Top Trending Employers,"COWI",6.706250472133379,2
2020-09-01,no,"Norway","All","Construction",Top Trending Employers,"Multiconsult",3.9331081791140345,3
2020-09-01,no,"Norway","All","Construction",Top Trending Employers,"Ramboll",4.570125693769268,4
2020-09-01,no,"Norway","All","Construction",Top Trending Jobs,"Project Manager",14.713227388593728,1
2020-09-01,no,"Norway","All","Construction",Top Trending Jobs,"Project Engineer",10.89263808057801,2
2020-09-01,no,"Norway","All","Construction",Top Trending Jobs,"Civil Engineer",10.843255840484925,3
2020-09-01,no,"Norway","All","Construction",Top Trending Skills,"Project Management",-1,1
2020-09-01,no,"Norway","All","Construction",Top Trending Skills,"Project Planning",-1,2
2020-09-01,no,"Norway","All","Construction",Top Trending Skills,"Project Engineering",-1,3
2020-09-01,no,"Norway","All","Construction",Top Trending Skills,"AutoCAD",-1,4
