date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Employers,"University of Oslo (UiO)",7.679524810327376,1
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Employers,"Oslo kommune",4.15637936552842,2
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Employers,"Sopra Steria",4.673427597400853,3
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Employers,"Knowit",13.579521014641111,4
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Employers,"DNB",2.0397110608446356,5
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Project Manager",4.30504315605968,1
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Software Engineer",2.9081136460909134,2
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Lawyer",1.901738806482203,4
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Account Manager",1.3658245484110816,5
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"General Manager",1.3286411844988977,6
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Key Account Manager",1.2559305339989235,7
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Communications Advisor",1.2053289061147048,8
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Journalist",1.2000265589091221,9
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Salesperson",1.0634889282686804,10
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Sales Consultant",1.0457328671985324,11
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Business Development Manager",0.9168617018014241,12
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Financial Advisor",0.9167805118381729,13
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Sales Manager",0.9001855281823716,14
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Jobs,"Product Manager",0.8741902447706266,15
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Project Management",-1,1
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Project Planning",-1,2
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Sales Management",-1,3
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Strategy",-1,4
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Journalism",-1,5
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Git",-1,6
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Business-to-Business (B2B)",-1,7
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Online Journalism",-1,8
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Legal Advice",-1,9
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Strategic Communications",-1,10
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Sales Process",-1,11
2021-03-01,no,"Norway","Greater Oslo Region","All",Top Trending Skills,"Contract Law",-1,12
