date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-11-01,ph,"Philippines","All","Education",Top Trending Employers,"51Talk",6.287203541155857,1
2020-11-01,ph,"Philippines","All","Education",Top Trending Employers,"Department of Education - Philippines",2.1649429738849912,2
2020-11-01,ph,"Philippines","All","Education",Top Trending Employers,"University of the Philippines",5.071114197467405,3
2020-11-01,ph,"Philippines","All","Education",Top Trending Jobs,"Teacher",15.433033179778672,1
2020-11-01,ph,"Philippines","All","Education",Top Trending Jobs,"English Second Language Teacher",9.307299617456568,2
2020-11-01,ph,"Philippines","All","Education",Top Trending Jobs,"Lecturer",7.41419807975842,3
2020-11-01,ph,"Philippines","All","Education",Top Trending Jobs,"Professor",7.310376469490308,4
2020-11-01,ph,"Philippines","All","Education",Top Trending Jobs,"College Instructor",5.102927684966936,5
2020-11-01,ph,"Philippines","All","Education",Top Trending Skills,"Teaching",-1,1
2020-11-01,ph,"Philippines","All","Education",Top Trending Skills,"Curriculum Development",-1,2
2020-11-01,ph,"Philippines","All","Education",Top Trending Skills,"Higher Education",-1,3
2020-11-01,ph,"Philippines","All","Education",Top Trending Skills,"English as a Second Language (ESL)",-1,4
2020-11-01,ph,"Philippines","All","Education",Top Trending Skills,"Teaching English as a Second Language",-1,5
