date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Employers,"CIENCE",27.84475564272372,1
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Jobs,"Project Manager",3.8796323911194928,1
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Jobs,"Graphic Designer",3.8315262695269596,2
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Jobs,"Writer",3.7609089167910046,3
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Jobs,"Account Manager",3.2709026855731613,4
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Project Management",-1,1
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Adobe Illustrator",-1,2
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Account Management",-1,3
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Writing",-1,4
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Project Planning",-1,5
2021-06-01,ph,"Philippines","All","Media & Communications",Top Trending Skills,"Creative Writing",-1,6
