date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"Sun Life",7.9001972487650605,1
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"Citi",7.658770786964252,2
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"Bank of the Philippine Islands (BPI)",6.0860392251623425,3
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"AXA",7.273206758908756,4
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"Security Bank Corporation",6.099652095190419,5
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"JPMorgan Chase & Co.",4.680821447913066,6
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Employers,"ISS | Institutional Shareholder Services",26.46630182862557,7
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Jobs,"Financial Advisor",15.992108845731684,1
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Jobs,"Audit Associate",3.6028050252322643,2
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Jobs,"Data Analyst",2.225190971259735,3
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"Financial Reporting",-1,1
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"Data Analysis",-1,2
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"External Audit",-1,3
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"Financial Planning",-1,4
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"Financial Advisory",-1,5
2020-01-01,ph,"Philippines","Metro Manila","Finance",Top Trending Skills,"Data Analytics",-1,6
