date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Accenture",5.917330830875606,1
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Shopee",18.891682827821395,2
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Wells Fargo",8.457945558733272,3
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Security Bank Corporation",4.905131479522546,4
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Globe Telecom",3.3049835911234866,5
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Concentrix",2.7943199217759065,6
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Citi",3.039390139546379,7
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"Infor",5.946379110579198,8
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"TaskUs",7.175935353441624,9
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"AXA",3.7699041205294166,10
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Employers,"NetSuite",5.767619220868502,11
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Software Engineer",4.189206285307546,1
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Customer Service Representative",1.7438716263158986,2
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Financial Advisor",1.6095902947286966,3
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Recruiter",1.5977340394418265,4
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Project Manager",1.56542476383691,5
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Account Manager",1.2030440820573618,6
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Graphic Designer",1.0608422826335744,7
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Accountant",1.0062819592731609,8
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Business Analyst",0.9918804508156779,9
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Business Development Manager",0.8559355672160649,10
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Data Analyst",0.7826335587733453,11
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Application Developer",0.7598103485097918,12
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Operations Manager",0.7268533406041066,13
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Account Executive",0.6978658542787824,14
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Marketing Executive",0.6874045560250069,15
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Salesperson",0.6649986152924173,16
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Operations Analyst",0.6609918772480771,17
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Relationship Manager",0.6324554228230623,18
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Social Media Manager",0.6302225232209933,19
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Jobs,"Technical Support Engineer",0.5762818428460844,20
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"JavaScript",-1,1
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Project Management",-1,2
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Adobe Illustrator",-1,3
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Financial Reporting",-1,4
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Account Reconciliation",-1,5
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Operations Management",-1,6
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Customer Experience",-1,7
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Account Management",-1,8
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Data Entry",-1,9
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Data Analysis",-1,10
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Social Media Marketing",-1,11
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Financial Planning",-1,12
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Business Analysis",-1,13
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Project Planning",-1,14
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Financial Advisory",-1,15
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Recruiting",-1,16
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Business Process Outsourcing (BPO)",-1,17
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Sales Management",-1,18
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"SQL",-1,19
2021-05-01,ph,"Philippines","Metro Manila","All",Top Trending Skills,"Technical Support",-1,20
