date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Teleperformance",8.990818827349562,1
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"BNP Paribas",4.595791948220373,2
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Sitel",13.540133931830853,3
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"PwC Portugal",15.604909982621981,4
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Fidelidade",8.97153181745505,5
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"everis",10.238258591287977,6
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Vodafone",4.753000846107986,7
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Webhelp",13.232022175294295,8
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"Altran",4.956714528048617,9
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"EDP",3.085012341851034,10
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"OutSystems",6.1891535870127035,11
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Employers,"ConvaTec",53.490961548417474,12
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Software Engineer",3.398214626918985,1
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Teacher",2.714489630440673,2
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Real Estate Consultant",2.241416725151955,3
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Project Manager",1.7461089722789178,4
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Customer Service Representative",1.6976334207725903,5
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Nurse",1.36841042199529,6
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Account Manager",1.0711322968479982,7
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Professor",0.964851639678262,8
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Salesperson",0.8171991373327048,9
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Business Analyst",0.7779140974601173,10
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Physical Therapist",0.7404422112053008,11
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Accountant",0.7240211214227099,12
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Full Stack Engineer",0.7223840136331592,13
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Architect",0.6663844167521724,14
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Real Estate Agent",0.6662468074703483,15
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Information Technology Consultant",0.641971046556557,16
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Receptionist",0.6262835304985713,17
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Data Analyst",0.6050911292918033,18
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Lecturer",0.6026922184325625,19
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Jobs,"Graphic Designer",0.5755969662977494,20
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Skills,"Teaching",-1,1
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Skills,"JavaScript",-1,2
2020-09-01,pt,"Portugal","Lisbon Metropolitan Area","All",Top Trending Skills,"Adobe Illustrator",-1,3
