date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"solutions by stc",8.307918778233729,1
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"Elm Company",6.68147231473372,2
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"TAHAKOM",14.755947087835553,3
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"Tabadul",32.75576756964812,4
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"Parsons Corporation",9.142256800353632,5
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"THIQAH Business Services",8.692189178131676,6
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Employers,"Tata Consultancy Services",6.249278283881311,7
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Jobs,"Software Engineer",5.061577944820304,1
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Jobs,"Project Manager",4.798986842114247,2
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Skills,"Project Planning",-1,1
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Skills,"Construction Management",-1,2
2020-01-01,sa,"Saudi Arabia","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,3
