date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Employers,"King Faisal Specialist Hospital and Research Centre (Gen. Org.)",4.027230681044185,1
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Employers,"Dr. Sulaiman AL Habib Medical Group",5.195149141278789,2
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Employers,"King Fahad Medical City - KFMC",3.703987043312402,3
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Employers,"Prince Sultan Military Medical City",5.639289011957129,4
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Employers,"Johns Hopkins Aramco Healthcare (JHAH)",5.743962463202038,5
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Jobs,"Medical Sales Representative",8.105785762204105,1
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Jobs,"Pharmacist",5.9026327715515885,2
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Jobs,"Nurse",5.827677845291705,3
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Skills,"Pharmaceutical Sales",-1,1
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Skills,"Sales Effectiveness",-1,2
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Skills,"Pharmacy",-1,3
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Skills,"Nursing",-1,4
2020-02-01,sa,"Saudi Arabia","All","Health Care",Top Trending Skills,"Basic Life Support (BLS)",-1,5
