date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"The National Commercial Bank - AlahliNCB",5.6373160603384935,1
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Public Investment Fund (PIF)",16.73017069428472,2
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Riyad Bank",5.958942110728691,3
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"SABB",5.44423360829507,4
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Tawuniya",11.865021579667598,5
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"بنك البلاد | Bank Albilad",7.11249628268097,6
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Samba Financial Group",4.809752919375372,7
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Alinma Bank",6.055733695891305,8
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Employers,"Saudi Central Bank – SAMA",6.172345274720777,9
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Jobs,"Relationship Manager",4.21825649456204,1
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Jobs,"Accountant",2.785491618237221,2
2020-03-01,sa,"Saudi Arabia","All","Finance",Top Trending Skills,"Account Reconciliation",-1,1
