date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Shopee",15.944572628952278,1
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"NCS Group",7.683300046749173,2
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Facebook",8.421016451120195,3
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Grab",5.379642344434577,4
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Amazon Web Services (AWS)",12.761222293995125,5
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"GovTech Singapore",6.771143462765436,6
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"foodpanda",26.086044376864457,7
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Lazada",9.62826495454056,8
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Accenture",3.6154249714486157,9
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Microsoft",5.806463767595776,10
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"IHiS (Integrated Health Information Systems)",5.01422813801179,11
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"PCCW Solutions Limited",19.33699761883363,12
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Employers,"Gojek",20.08015231142945,13
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Software Engineer",9.666221721449867,1
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Project Manager",1.8054835316050035,2
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Account Manager",1.7496818185090937,3
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Product Manager",1.6817987112807127,4
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Business Development Manager",1.5941634767162964,5
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"System Engineer",1.4147844909113927,6
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Solutions Architect",1.3508983746131944,7
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Business Analyst",1.2118879048591196,8
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Sales Director",1.18473241709412,9
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Sales Manager",1.159931030503431,10
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Data Analyst",1.150315970671558,11
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Data Scientist",1.0804482360255394,12
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Customer Success Manager",0.9423850513000981,13
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Jobs,"Account Executive",0.9396131960722518,14
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Project Management",-1,1
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"JavaScript",-1,2
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Java",-1,3
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Sales Management",-1,4
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Project Planning",-1,5
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Account Management",-1,6
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Business Analysis",-1,7
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Accounts Payable",-1,8
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Python (Programming Language)",-1,9
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Requirements Gathering",-1,10
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Product Development",-1,11
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Tableau",-1,12
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Machine Learning",-1,13
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Solution Architecture",-1,14
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Windows Server",-1,15
2020-04-01,sg,"Singapore","All","Software & IT Services",Top Trending Skills,"Data Science",-1,16
