date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Standard Bank Group",1.5743928995573568,1
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Absa Group",1.3004343482372689,2
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Old Mutual South Africa",3.68903714453368,3
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Discovery Limited",2.495682222448306,4
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Sanlam",2.2884260093602866,5
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Liberty Group South Africa",4.016947610869881,6
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"OUTsurance",6.462492210846432,7
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Nedbank",0.9158658083731841,8
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"FNB South Africa",0.6492243275176559,9
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Telesure Investment Holdings (TIH)",4.50779155030707,10
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Old Mutual Limited",2.4137148604807015,11
2020-08-01,za,"South Africa","All","Finance",Top Trending Employers,"Momentum",4.0036916571103625,12
2020-08-01,za,"South Africa","All","Finance",Top Trending Jobs,"Financial Advisor",13.781277875085573,1
2020-08-01,za,"South Africa","All","Finance",Top Trending Jobs,"Software Engineer",3.1425870075715303,2
2020-08-01,za,"South Africa","All","Finance",Top Trending Jobs,"Financial Planner",2.060040568404367,3
2020-08-01,za,"South Africa","All","Finance",Top Trending Jobs,"Business Analyst",2.0345895236605496,4
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"JavaScript",-1,1
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"C#",-1,2
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"Business Analysis",-1,3
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"Financial Planning",-1,4
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"Retirement Planning",-1,5
2020-08-01,za,"South Africa","All","Finance",Top Trending Skills,"Requirements Analysis",-1,6
