date,countryCode,countryName,regionName,industryName,categoryType,categoryName,categoryValue,rank
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of Cape Town",3.306163434397934,1
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of Pretoria/Universiteit van Pretoria",3.3853816051967014,2
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of Johannesburg",3.0289985680036904,3
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of the Witwatersrand",3.018857882703471,4
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"2U",14.192188901865105,5
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"Stellenbosch University",3.3658319964170103,6
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of the Free State",4.910522933357392,7
2021-05-01,za,"South Africa","All","Education",Top Trending Employers,"University of KwaZulu-Natal",2.653867066578412,8
2021-05-01,za,"South Africa","All","Education",Top Trending Jobs,"Lecturer",14.436177117711733,1
2021-05-01,za,"South Africa","All","Education",Top Trending Jobs,"Teacher",6.735757015376288,2
2021-05-01,za,"South Africa","All","Education",Top Trending Jobs,"Academic Tutor",4.311142229937516,3
2021-05-01,za,"South Africa","All","Education",Top Trending Jobs,"Postdoctoral Researcher",3.69877960032384,4
2021-05-01,za,"South Africa","All","Education",Top Trending Skills,"Teaching",-1,1
2021-05-01,za,"South Africa","All","Education",Top Trending Skills,"Curriculum Development",-1,2
2021-05-01,za,"South Africa","All","Education",Top Trending Skills,"Higher Education",-1,3
2021-05-01,za,"South Africa","All","Education",Top Trending Skills,"Research",-1,4
